judge,corpus,grader_id,n_j,rho_f_judge_wins,rho_h_reviewer_wins,d_bar,test,p_value_one_sided,rejected_BY_FDR
GPT-5-mini (Config B),LLM-generated,grader_05,9,0.4444444444444444,0.5555555555555556,0.1111111111111111,wilcoxon,0.212890625,False
GPT-5-mini (Config B),LLM-generated,grader_07,9,0.3333333333333333,0.6666666666666666,0.3333333333333333,wilcoxon,0.455078125,False
Gemini-3.1-Pro (Config B),human-authored,grader_01,14,0.7142857142857143,0.35714285714285715,-0.35714285714285715,wilcoxon,0.0067138671875,True
Gemini-3.1-Pro (Config B),human-authored,grader_02,19,0.7368421052631579,0.2631578947368421,-0.47368421052631576,wilcoxon,0.0002613067626953125,True
Gemini-3.1-Pro (Config B),human-authored,grader_04,15,0.5333333333333333,0.5333333333333333,0.0,wilcoxon,0.08441162109375,False
Gemini-3.1-Pro (Config B),human-authored,grader_05,21,0.5238095238095238,0.5238095238095238,0.0,wilcoxon,0.04109764099121094,False
Gemini-3.1-Pro (Config B),human-authored,grader_07,21,0.38095238095238093,0.6190476190476191,0.23809523809523808,wilcoxon,0.20599079132080078,False
Gemini-3.1-Pro (Config B),LLM-generated,grader_01,7,0.14285714285714285,0.8571428571428571,0.7142857142857143,wilcoxon,0.890625,False
Gemini-3.1-Pro (Config B),LLM-generated,grader_02,11,0.0,1.0,1.0,wilcoxon,1.0,False
Gemini-3.1-Pro (Config B),LLM-generated,grader_04,9,0.5555555555555556,0.4444444444444444,-0.1111111111111111,wilcoxon,0.08203125,False
Gemini-3.1-Pro (Config B),LLM-generated,grader_05,9,0.2222222222222222,0.7777777777777778,0.5555555555555556,wilcoxon,0.751953125,False
Gemini-3.1-Pro (Config B),LLM-generated,grader_07,9,0.4444444444444444,0.5555555555555556,0.1111111111111111,wilcoxon,0.212890625,False
Opus-4.7 (Config B),human-authored,grader_01,13,0.5384615384615384,0.46153846153846156,-0.07692307692307693,wilcoxon,0.047119140625,False
Opus-4.7 (Config B),human-authored,grader_02,17,0.5882352941176471,0.4117647058823529,-0.17647058823529413,wilcoxon,0.01007843017578125,True
Opus-4.7 (Config B),human-authored,grader_04,15,0.6,0.4,-0.2,wilcoxon,0.012786865234375,True
Opus-4.7 (Config B),human-authored,grader_05,19,0.5789473684210527,0.42105263157894735,-0.15789473684210525,wilcoxon,0.007986068725585938,True
Opus-4.7 (Config B),human-authored,grader_07,20,0.4,0.6,0.2,wilcoxon,0.1649913787841797,False
Opus-4.7 (Config B),LLM-generated,grader_01,7,0.2857142857142857,0.7142857142857143,0.42857142857142855,wilcoxon,0.59375,False
Opus-4.7 (Config B),LLM-generated,grader_02,11,0.5454545454545454,0.5454545454545454,0.0,wilcoxon,0.13916015625,False
Opus-4.7 (Config B),LLM-generated,grader_04,9,0.8888888888888888,0.1111111111111111,-0.7777777777777778,wilcoxon,0.00390625,True
Opus-4.7 (Config B),LLM-generated,grader_05,9,0.7777777777777778,0.2222222222222222,-0.5555555555555556,wilcoxon,0.009765625,False
Opus-4.7 (Config B),LLM-generated,grader_07,9,0.6666666666666666,0.4444444444444444,-0.2222222222222222,wilcoxon,0.064453125,False
DeepSeek-V4-Pro,human-authored,grader_01,14,0.6428571428571429,0.5,-0.14285714285714285,wilcoxon,0.0452880859375,False
DeepSeek-V4-Pro,human-authored,grader_02,19,0.6842105263157895,0.3157894736842105,-0.3684210526315789,wilcoxon,0.00084686279296875,True
DeepSeek-V4-Pro,human-authored,grader_04,15,0.5333333333333333,0.6,0.06666666666666667,wilcoxon,0.165130615234375,False
DeepSeek-V4-Pro,human-authored,grader_05,21,0.5238095238095238,0.5238095238095238,0.0,wilcoxon,0.04109764099121094,False
DeepSeek-V4-Pro,human-authored,grader_07,21,0.42857142857142855,0.5714285714285714,0.14285714285714285,wilcoxon,0.10145854949951172,False
DeepSeek-V4-Pro,LLM-generated,grader_01,7,0.0,1.0,1.0,wilcoxon,1.0,False
DeepSeek-V4-Pro,LLM-generated,grader_02,11,0.36363636363636365,0.6363636363636364,0.2727272727272727,wilcoxon,0.35009765625,False
DeepSeek-V4-Pro,LLM-generated,grader_04,9,0.7777777777777778,0.2222222222222222,-0.5555555555555556,wilcoxon,0.009765625,False
DeepSeek-V4-Pro,LLM-generated,grader_05,9,0.7777777777777778,0.4444444444444444,-0.3333333333333333,wilcoxon,0.037109375,False
DeepSeek-V4-Pro,LLM-generated,grader_07,9,0.3333333333333333,0.6666666666666666,0.3333333333333333,wilcoxon,0.455078125,False
Qwen3.5-397B-A17B,human-authored,grader_01,14,0.5,0.5714285714285714,0.07142857142857142,wilcoxon,0.14788818359375,False
Qwen3.5-397B-A17B,human-authored,grader_02,19,0.47368421052631576,0.5263157894736842,0.05263157894736842,wilcoxon,0.05668830871582031,False
Qwen3.5-397B-A17B,human-authored,grader_04,15,0.4,0.6,0.2,wilcoxon,0.210601806640625,False
Qwen3.5-397B-A17B,human-authored,grader_05,21,0.3333333333333333,0.6666666666666666,0.3333333333333333,wilcoxon,0.36673498153686523,False
Qwen3.5-397B-A17B,human-authored,grader_07,21,0.3333333333333333,0.6666666666666666,0.3333333333333333,wilcoxon,0.36673498153686523,False
Qwen3.5-397B-A17B,LLM-generated,grader_01,7,0.0,1.0,1.0,wilcoxon,1.0,False
Qwen3.5-397B-A17B,LLM-generated,grader_02,11,0.18181818181818182,0.9090909090909091,0.7272727272727273,wilcoxon,0.97314453125,False
Qwen3.5-397B-A17B,LLM-generated,grader_04,9,0.5555555555555556,0.4444444444444444,-0.1111111111111111,wilcoxon,0.08203125,False
Qwen3.5-397B-A17B,LLM-generated,grader_05,9,0.3333333333333333,0.6666666666666666,0.3333333333333333,wilcoxon,0.455078125,False
Qwen3.5-397B-A17B,LLM-generated,grader_07,9,0.3333333333333333,0.6666666666666666,0.3333333333333333,wilcoxon,0.455078125,False
Sonnet-4.6,human-authored,grader_01,14,0.5,0.5,0.0,wilcoxon,0.067626953125,False
Sonnet-4.6,human-authored,grader_02,19,0.631578947368421,0.42105263157894735,-0.21052631578947367,wilcoxon,0.0070343017578125,True
Sonnet-4.6,human-authored,grader_04,15,0.5333333333333333,0.4666666666666667,-0.06666666666666667,wilcoxon,0.0364990234375,False
Sonnet-4.6,human-authored,grader_05,21,0.6666666666666666,0.3333333333333333,-0.3333333333333333,wilcoxon,0.0006871223449707031,True
Sonnet-4.6,human-authored,grader_07,21,0.5238095238095238,0.47619047619047616,-0.047619047619047616,wilcoxon,0.017528057098388672,False
Sonnet-4.6,LLM-generated,grader_01,7,0.0,1.0,1.0,wilcoxon,1.0,False
Sonnet-4.6,LLM-generated,grader_02,11,0.36363636363636365,0.7272727272727273,0.36363636363636365,wilcoxon,0.58447265625,False
Sonnet-4.6,LLM-generated,grader_04,9,0.6666666666666666,0.3333333333333333,-0.3333333333333333,wilcoxon,0.02734375,False
Sonnet-4.6,LLM-generated,grader_05,9,0.6666666666666666,0.3333333333333333,-0.3333333333333333,wilcoxon,0.02734375,False
Sonnet-4.6,LLM-generated,grader_07,9,0.5555555555555556,0.4444444444444444,-0.1111111111111111,wilcoxon,0.08203125,False
GPT-5.4-mini,human-authored,grader_01,14,0.5714285714285714,0.42857142857142855,-0.14285714285714285,wilcoxon,0.02471923828125,False
GPT-5.4-mini,human-authored,grader_02,19,0.6842105263157895,0.3157894736842105,-0.3684210526315789,wilcoxon,0.00084686279296875,True
GPT-5.4-mini,human-authored,grader_04,15,0.7333333333333333,0.3333333333333333,-0.4,wilcoxon,0.00335693359375,True
GPT-5.4-mini,human-authored,grader_05,21,0.6190476190476191,0.38095238095238093,-0.23809523809523808,wilcoxon,0.0021424293518066406,True
GPT-5.4-mini,human-authored,grader_07,21,0.47619047619047616,0.5238095238095238,0.047619047619047616,wilcoxon,0.044399261474609375,False
GPT-5.4-mini,LLM-generated,grader_01,7,0.2857142857142857,0.7142857142857143,0.42857142857142855,wilcoxon,0.59375,False
GPT-5.4-mini,LLM-generated,grader_02,11,0.09090909090909091,0.9090909090909091,0.8181818181818182,wilcoxon,0.97900390625,False
GPT-5.4-mini,LLM-generated,grader_04,9,0.6666666666666666,0.3333333333333333,-0.3333333333333333,wilcoxon,0.02734375,False
GPT-5.4-mini,LLM-generated,grader_05,9,0.5555555555555556,0.4444444444444444,-0.1111111111111111,wilcoxon,0.08203125,False
GPT-5.4-mini,LLM-generated,grader_07,9,0.4444444444444444,0.5555555555555556,0.1111111111111111,wilcoxon,0.212890625,False
